Resolution,Number of Cells,Cell Width (m),Cell Area (sq m)
0,6,10007554.67777065,100151150628569.22
1,54,3335851.5592568833,11127905625396.58
2,486,1111950.5197522943,1236433958377.3975
3,4374,370650.1732507648,137381550930.82195
4,39366,123550.05775025493,15264616770.091328
5,354294,41183.35258341832,1696068530.010148
6,3188646,13727.78419447277,188452058.89001638
7,28697814,4575.928064824257,20939117.654446267
8,258280326,1525.309354941419,2326568.628271808
9,2324522934,508.4364516471396,258507.62536353414
10,20920706406,169.4788172157132,28723.069484837128
11,188286357654,56.49293907190441,3191.452164981904
12,1694577218886,18.830979690634802,354.60579610910037
13,15251194969974,6.276993230211601,39.40064401212227
14,137260754729766,2.0923310767372003,4.377849334680252
